OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
341,2023,PIH,17453,17612,751,951,232584,0
342,2023,HYA,17166,17166,3377,3372,0,511861
343,2023,CCR,16997,17204,800,804,0,0
344,2023,KLW,16733,16890,3330,3270,114130,205240
345,2023,DBQ,16469,16500,135,136,0,0
346,2023,BRD,16218,16218,625,625,0,0
347,2023,RKS,16158,16428,736,737,109515,0
348,2023,BTM,15882,15882,673,673,0,0
349,2023,PIR,15871,15915,869,886,85328,0
350,2023,MCN,15815,16378,694,691,36775,0
351,2023,ESC,15657,19475,941,944,123317,0
352,2023,ATY,15532,15532,628,632,0,0
353,2023,MEI,15513,18317,696,697,35353,0
354,2023,RIW,15344,15344,438,437,0,0
355,2023,RDB,15094,15111,830,898,818255,0
356,2023,BID,15013,15013,3410,3455,5017,0
357,2023,SLN,14991,20712,758,756,0,0
358,2023,EAR,14684,14701,929,1098,433167,0
359,2023,LBF,14362,15706,888,918,117615,0
360,2023,WRG,14323,60100,1257,1257,874675,51284
361,2023,JLN,14270,14270,628,571,0,0
362,2023,JST,14250,14250,719,735,1507,0
363,2023,SMX,14160,14315,919,785,929035,0
364,2023,VEL,13952,13952,599,599,0,0
365,2023,CVN,13623,13623,625,625,0,0
366,2023,TUP,13445,13445,751,752,8955,0
367,2023,LKE,13350,13631,3561,3552,440,0
368,2023,SIG,13280,13280,2424,2445,2431,0
369,2023,INL,13238,13379,625,623,0,0
370,2023,PAH,13032,13166,628,628,0,0
371,2023,CYS,13000,13001,368,370,0,0
372,2023,PGA,12970,12970,971,1233,0,0
373,2023,ALO,12814,13099,635,638,0,0
374,2023,PIB,12429,15009,635,627,0,0
375,2023,WST,12297,12297,3418,3375,21534,0
376,2023,YAK,12105,27532,1043,1054,1527826,8411
377,2023,BFF,12043,15502,884,951,173220,0
378,2023,HIB,11775,12580,711,710,0,0
379,2023,GAL,11758,12199,2827,2818,527871,839307
380,2023,CDC,11746,11932,881,887,157205,0
381,2023,TBN,11702,11702,574,573,0,0
382,2023,FRD,11417,11756,3207,3194,43108,0
383,2023,ALS,11319,11319,624,623,0,0
384,2023,VCT,11292,11334,632,633,0,0
385,2023,BED,11227,11227,527,528,0,0
386,2023,DEC,11207,22423,933,990,0,0
387,2023,ROP,11136,11136,3179,3295,626904,0
388,2023,OWB,10818,10818,841,841,209,0
389,2023,EKO,10715,10715,367,368,0,0
390,2023,TEX,10687,10687,618,616,0,0
391,2023,LEB,10683,10683,2105,2107,0,0
392,2023,MWA,10483,10483,1190,1195,0,0
393,2023,JMS,10463,18530,663,663,0,0
394,2023,BFM,10446,10446,765,771,15031894,0
395,2023,BIH,9981,9981,520,524,49437,0
396,2023,BHB,9898,9898,1617,1597,0,0
397,2023,1G4,9861,9861,746,1338,0,0
398,2023,EMK,9760,10053,6108,6104,433369,2756435
399,2023,GST,9580,9596,1231,1233,20897,22114
400,2023,HYS,9488,21431,731,732,0,0
401,2023,CEZ,8925,8925,1248,1255,0,0
402,2023,WYS,8735,8735,294,294,0,0
403,2023,UNK,8312,10657,3353,3367,738785,3436683
404,2023,LWB,8290,8290,600,601,11098,0
405,2023,LBL,8267,14572,615,615,0,0
406,2023,MAZ,8224,8224,1436,1436,0,0
407,2023,TVF,8143,8143,1315,1068,3459142,0
408,2023,DVL,8051,12015,645,645,0,0
409,2023,APN,8034,9340,666,834,341474,0
410,2023,SDY,8020,8020,1676,1683,0,0
411,2023,SHD,7966,7966,617,617,0,0
412,2023,CEC,7875,7875,711,713,61924,0
413,2023,ESD,7827,8636,2182,2515,70969,0
414,2023,PVC,7612,7613,1490,1480,0,0
415,2023,CGI,7555,7555,609,608,0,0
416,2023,GLH,7516,7516,444,444,0,0
417,2023,IPL,7094,7094,1634,1617,600407,0
418,2023,DQS,7087,7087,675,393,0,0
419,2023,IWD,7042,7042,606,611,0,0
420,2023,TSM,7028,7112,346,346,0,0
