,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
DEFAULT,0.0215696008151112,0.0250455320522922,0.0556856865232929,0.0178668003172038,0.0215696008151112,0.0139044251984031,0.0494076141832367,0.0398217808830004,0.0371550444461919,0.0215696008151112,0.00645323998977099,0.0250455320522922,0.0371550444461919,0.0215696008151112,-0.0185972620316256,0,0,0.0109550545280976,0.0147194767041825,-0.0358240020575049,0,-0.00611458810084853,0,0,0,0.0556856865232929,0,0.0109550545280976,0,0
MA,0.0215696008151112,0.0250455320522922,0.0556856865232929,0.0178668003172038,0.0215696008151112,0.0139044251984031,0.0494076141832367,0.0398217808830004,0.0371550444461919,0.0215696008151112,0.00645323998977099,0.0250455320522922,0.0371550444461919,0.0215696008151112,-0.0185972620316256,0,0,0.0109550545280976,0.0147194767041825,-0.0358240020575049,0,-0.00611458810084853,0,0,0,0.0556856865232929,0,0.0109550545280976,0,0
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0.053,0,0,0.0038,0,0,0,0,0,0,-0.063,0.128,0.071,0.12,0.154,0.045,0.032,0,0,0,0,0,0,0.053,0.12,0.045,0.154,0
US,0.008,0.0039,0.01,0.01,0.019,0.0105,0.005,0,0.028,0.033,0,0,0.006,0,0,-0.021,-0.019,-0.0019,0,-0.007,0,0,-0.0022,-0.02,-0.0049,0,0,0,0,0
