Bus,busmap
10562,US0 20
10564,US0 45
10567,US0 76
10568,US0 62
10570,US0 20
10573,US0 20
10574,US0 20
10576,US0 20
10579,US0 62
10580,US0 20
10581,US0 20
10582,US0 20
10583,US0 20
10584,US0 62
10586,US0 67
10588,US0 67
10590,US0 45
10591,US0 45
10592,US0 45
10593,US0 89
10595,US0 72
10596,US0 89
10597,US0 45
106,US0 24
1060,US0 47
10600,US0 20
10601,US0 20
10602,US0 62
10603,US0 67
10604,US0 67
10605,US0 76
10606,US0 67
10607,US0 76
10608,US0 62
10609,US0 62
10610,US0 62
10612,US0 20
10613,US0 72
10616,US0 20
10617,US0 72
10618,US0 20
10619,US0 62
10620,US0 62
10622,US0 62
10623,US0 62
10624,US0 89
10625,US0 20
10627,US0 20
10629,US0 62
1063,US0 36
10631,US0 62
10632,US0 62
10633,US0 76
10634,US0 62
10635,US0 76
10636,US0 76
10638,US0 54
10639,US0 20
10640,US0 67
10641,US0 62
10642,US0 62
10643,US0 45
10644,US0 67
10645,US0 45
10647,US0 45
10648,US0 54
1065,US0 28
10650,US0 45
10652,US0 62
10653,US0 62
10655,US0 62
10656,US0 62
10659,US0 62
10660,US0 42
10662,US0 73
10663,US0 42
10665,US0 42
10666,US0 42
10667,US0 73
10668,US0 42
10669,US0 73
1067,US0 36
10670,US0 73
10671,US0 42
10672,US0 42
10673,US0 42
10674,US0 42
10675,US0 42
10676,US0 42
10677,US0 23
10678,US0 23
10679,US0 61
10681,US0 86
10683,US0 61
10684,US0 61
10688,US0 28
10690,US0 28
10691,US0 49
10692,US0 49
10693,US0 49
10694,US0 49
10695,US0 91
10697,US0 28
10699,US0 28
1070,US0 36
10700,US0 28
10702,US0 28
10703,US0 49
10706,US0 49
10707,US0 28
10709,US0 28
10710,US0 49
10711,US0 49
10713,US0 49
10715,US0 49
10716,US0 49
10717,US0 49
10718,US0 49
10719,US0 69
10720,US0 28
10721,US0 91
10722,US0 28
10723,US0 49
10725,US0 49
10726,US0 28
10727,US0 28
10728,US0 28
10729,US0 49
1073,US0 36
10730,US0 28
10731,US0 28
10732,US0 28
10735,US0 49
10738,US0 49
10739,US0 28
10741,US0 91
10744,US0 28
10745,US0 49
10746,US0 28
10748,US0 28
10750,US0 28
10751,US0 49
10752,US0 28
10753,US0 28
10754,US0 28
10756,US0 91
10757,US0 49
10759,US0 49
1076,US0 36
10761,US0 49
10762,US0 28
10764,US0 49
10765,US0 49
10766,US0 28
10768,US0 28
10770,US0 28
10773,US0 28
10774,US0 28
10776,US0 28
10777,US0 28
10778,US0 28
10779,US0 28
1078,US0 47
10780,US0 28
10781,US0 28
10782,US0 28
10783,US0 49
10784,US0 49
10785,US0 49
10787,US0 28
10789,US0 28
10790,US0 49
10793,US0 49
10795,US0 69
10797,US0 5
10798,US0 5
10799,US0 5
108,US0 24
10800,US0 5
10801,US0 5
10804,US0 5
10806,US0 49
10807,US0 5
10808,US0 42
1081,US0 27
10810,US0 42
10811,US0 42
10812,US0 42
10813,US0 42
10814,US0 42
10815,US0 42
10816,US0 42
10818,US0 37
1082,US0 27
10820,US0 37
10821,US0 63
10823,US0 5
10824,US0 37
10825,US0 84
10827,US0 37
10828,US0 84
10829,US0 37
10831,US0 37
10832,US0 37
10834,US0 37
10835,US0 63
10836,US0 67
10837,US0 67
10839,US0 60
10840,US0 37
10841,US0 63
10842,US0 63
10844,US0 67
10846,US0 84
10847,US0 63
10849,US0 37
1085,US0 36
10850,US0 37
10852,US0 37
10854,US0 37
10856,US0 37
10858,US0 37
10859,US0 37
10860,US0 67
10861,US0 37
10862,US0 67
10863,US0 63
10864,US0 63
10865,US0 63
10866,US0 37
10868,US0 37
10869,US0 37
10870,US0 67
10871,US0 84
10873,US0 67
10875,US0 84
10876,US0 63
10877,US0 84
10878,US0 63
10879,US0 63
1088,US0 36
10880,US0 63
10881,US0 63
10882,US0 63
10883,US0 63
10886,US0 67
10888,US0 37
10890,US0 63
10891,US0 37
10892,US0 63
10893,US0 63
10895,US0 67
10896,US0 63
10897,US0 37
1090,US0 27
10900,US0 63
10901,US0 63
10903,US0 11
10904,US0 63
10905,US0 9
10906,US0 73
10907,US0 73
10908,US0 9
10909,US0 9
10910,US0 9
10911,US0 9
10913,US0 42
10914,US0 73
10915,US0 9
10916,US0 9
10917,US0 9
10918,US0 9
10919,US0 42
10921,US0 42
10922,US0 42
10924,US0 34
10925,US0 34
10926,US0 84
10927,US0 86
1093,US0 36
10930,US0 86
10932,US0 86
10933,US0 31
